index,frequency_Hz,rcs_m2
312,1469276822.2791488,2.4966470376010428e-05
313,1493041249.6730373,2.6604239208186243e-05
314,1517190048.4806752,2.8348696430924696e-05
315,1541729435.6153133,3.0206699583983847e-05
316,1566665728.5440187,3.218553462483295e-05
317,1592005346.914051,3.429294090058312e-05
318,1617754814.2055411,3.653713729339316e-05
319,1643920759.410935,3.892684954543245e-05
320,1670509918.7415345,4.14713387588225e-05
321,1697529137.3617082,4.418043105292258e-05
322,1724985371.151115,4.70645483453914e-05
323,1752885688.4954338,5.013474020420741e-05
324,1781237272.1060903,5.3402716694694065e-05
325,1810047420.869345,5.688088211789433e-05
326,1839323551.7253535,6.0582369503717185e-05
327,1869073201.577629,6.452107568320389e-05
328,1899304029.233274,6.871169671813135e-05
329,1930023817.3747838,7.316976341198058e-05
330,1961240474.5635517,7.791167656262258e-05
331,1992962037.2758954,8.29547415428762e-05
332,2025196671.9720066,8.831720170856903e-05
333,2057952677.1982923,9.401827003340424e-05
334,2091238485.7238,0.00010007815825399887
335,2125062666.7111588,0.00010651810267483723
336,2159433927.9226327,0.0001133603856296545
337,2194361117.961897,0.00012062835142070109
338,2229853228.5519896,0.00012834641535819355
339,2265919396.85019,0.00013654006429703896
340,2302568907.800301,0.00014523584681436753
341,2339811196.52297,0.00015446135088803127
342,2377655850.7447243,0.00016424516662162645
343,2416112613.2661963,0.00017461683121527128
344,2455191384.470367,0.00018560675300400978
345,2494902224.8713303,0.0001972461109790435
346,2535255357.704281,0.0002095667257753492
347,2576261171.557444,0.0002226008976589463
348,2617930223.0464735,0.00023638120658819783
349,2660273239.5322056,0.00025094026897037506
350,2703301121.8823247,0.0002663104453063924
351,2747024947.27769,0.00028252349253933285
352,2791455972.0641103,0.00029961015462923955
353,2836605634.650136,0.0003175996847098571
354,2882485558.4518256,0.0003365192921949376
355,2929107554.8850913,0.0003563935084549163
356,2976483626.4064403,0.00037724346525396326
357,3024625969.602958,0.00039908608110782715
358,3073546978.3321505,0.00042193315218964987
359,3123259246.9126873,0.000445790346476777
360,3173775573.3666997,0.00047065610260035753
361,3225108962.7145104,0.0004965204384314182
362,3277272630.3227286,0.0005233636788958623
363,3330280005.3063555,0.0005511551179114938
364,3384144733.9860444,0.0005798516356919564
365,3438880683.4012895,0.0006093962999062577
366,3494501944.8802304,0.0006397169871708332
367,3551022837.6675477,0.0006707250698225896
368,3608457912.6106815,0.0007023142214783469
369,3666821955.905885,0.0007343594029850849
370,3726129992.9048576,0.0007667160973049416
371,3786397291.98281,0.0007992198668216195
372,3847639368.4692445,0.0008316863085592589
373,3909871988.642236,0.0008639114808905508
374,3973111173.7873173,0.0008956728685570621
375,4037373204.3220925,0.0009267309404890561
376,4102674623.987406,0.0009568313365765067
377,4169032244.106455,0.0009857076952612448
378,4236463147.9127154,0.0010130851042444795
379,4304984694.9478655,0.0010386841230739519
380,4374614525.530928,0.0010622252909230907
381,4445370565.299521,0.0010834339981431937
382,4517271029.824747,0.001102045569213436
383,4590334429.300614,0.0011178103807013729
384,4664579573.309328,0.0011304988236903507
385,4740025575.663739,0.0011399059180859526
386,4816691859.327924,0.0011458553975226171
387,4894598161.417548,0.0011482031082273088
388,4973764538.281008,0.0011468396017688465
389,5054211370.662755,0.0011416918474720214
390,5135959368.950236,0.0011327240417600332
