theta   d_times   d_db
0.796792   0.202746   -6.930488
0.798364   0.204930   -6.883938
0.799935   0.207133   -6.837515
0.801507   0.209353   -6.791218
0.803078   0.211590   -6.745047
0.804650   0.213845   -6.699002
0.806222   0.216118   -6.653082
0.807793   0.218409   -6.607288
0.809365   0.220718   -6.561618
0.810936   0.223045   -6.516073
0.812508   0.225390   -6.470652
0.814080   0.227753   -6.425355
0.815651   0.230135   -6.380182
0.817223   0.232534   -6.335132
0.818794   0.234952   -6.290205
0.820366   0.237389   -6.245400
0.821937   0.239844   -6.200718
0.823509   0.242317   -6.156159
0.825081   0.244809   -6.111721
0.826652   0.247320   -6.067405
0.828224   0.249850   -6.023210
0.829795   0.252398   -5.979136
0.831367   0.254966   -5.935183
0.832939   0.257552   -5.891350
0.834510   0.260157   -5.847637
0.836082   0.262782   -5.804045
0.837653   0.265426   -5.760572
0.839225   0.268088   -5.717218
0.840796   0.270771   -5.673984
0.842368   0.273472   -5.630869
0.843940   0.276193   -5.587872
0.845511   0.278934   -5.544993
0.847083   0.281693   -5.502233
0.848654   0.284473   -5.459590
0.850226   0.287272   -5.417065
0.851798   0.290091   -5.374657
0.853369   0.292930   -5.332367
0.854941   0.295788   -5.290193
0.856512   0.298666   -5.248135
0.858084   0.301565   -5.206195
0.859655   0.304483   -5.164370
0.861227   0.307421   -5.122661
0.862799   0.310380   -5.081067
0.864370   0.313358   -5.039589
0.865942   0.316357   -4.998226
0.867513   0.319376   -4.956978
0.869085   0.322415   -4.915845
0.870656   0.325475   -4.874826
0.872228   0.328555   -4.833922
0.873800   0.331655   -4.793131
0.875371   0.334776   -4.752454
0.876943   0.337918   -4.711891
0.878514   0.341080   -4.671440
0.880086   0.344262   -4.631103
0.881658   0.347466   -4.590879
0.883229   0.350690   -4.550768
0.884801   0.353935   -4.510769
0.886372   0.357200   -4.470882
0.887944   0.360487   -4.431107
0.889515   0.363794   -4.391444
0.891087   0.367122   -4.351892
0.892659   0.370471   -4.312452
0.894230   0.373842   -4.273123
0.895802   0.377233   -4.233905
0.897373   0.380645   -4.194798
0.898945   0.384078   -4.155801
0.900517   0.387533   -4.116914
0.902088   0.391008   -4.078138
0.903660   0.394505   -4.039472
0.905231   0.398023   -4.000915
0.906803   0.401563   -3.962468
0.908374   0.405123   -3.924130
0.909946   0.408705   -3.885902
0.911518   0.412308   -3.847782
0.913089   0.415932   -3.809771
0.914661   0.419578   -3.771869
0.916232   0.423246   -3.734075
0.917804   0.426934   -3.696390
0.919376   0.430644   -3.658812
0.920947   0.434376   -3.621342
0.922519   0.438129   -3.583980
0.924090   0.441903   -3.546726
0.925662   0.445700   -3.509578
0.927233   0.449517   -3.472538
0.928805   0.453356   -3.435605
0.930377   0.457217   -3.398778
0.931948   0.461099   -3.362058
0.933520   0.465003   -3.325445
0.935091   0.468928   -3.288938
0.936663   0.472875   -3.252536
0.938235   0.476844   -3.216241
0.939806   0.480834   -3.180051
0.941378   0.484845   -3.143967
0.942949   0.488879   -3.107989
0.944521   0.492934   -3.072115
0.946092   0.497010   -3.036347
0.947664   0.501108   -3.000684
0.949236   0.505228   -2.965125
0.950807   0.509369   -2.929671
0.952379   0.513532   -2.894321
0.953950   0.517717   -2.859076
0.955522   0.521923   -2.823934
0.957094   0.526151   -2.788897
0.958665   0.530400   -2.753963
0.960237   0.534671   -2.719134
0.961808   0.538963   -2.684407
0.963380   0.543277   -2.649784
0.964951   0.547613   -2.615264
0.966523   0.551970   -2.580847
0.968095   0.556348   -2.546533
0.969666   0.560748   -2.512322
0.971238   0.565169   -2.478213
0.972809   0.569612   -2.444207
0.974381   0.574076   -2.410303
0.975952   0.578562   -2.376501
0.977524   0.583069   -2.342801
0.979096   0.587597   -2.309203
0.980667   0.592147   -2.275707
0.982239   0.596717   -2.242312
0.983810   0.601310   -2.209019
0.985382   0.605923   -2.175827
0.986954   0.610557   -2.142737
0.988525   0.615213   -2.109747
0.990097   0.619889   -2.076858
0.991668   0.624587   -2.044070
0.993240   0.629306   -2.011383
0.994811   0.634045   -1.978796
0.996383   0.638806   -1.946310
0.997955   0.643588   -1.913923
0.999526   0.648390   -1.881637
1.001098   0.653213   -1.849451
1.002669   0.658057   -1.817365
1.004241   0.662922   -1.785378
1.005813   0.667807   -1.753491
1.007384   0.672713   -1.721704
1.008956   0.677639   -1.690016
1.010527   0.682586   -1.658427
1.012099   0.687553   -1.626937
1.013670   0.692541   -1.595547
1.015242   0.697549   -1.564255
1.016814   0.702577   -1.533062
1.018385   0.707625   -1.501967
1.019957   0.712694   -1.470971
1.021528   0.717782   -1.440074
1.023100   0.722891   -1.409274
1.024672   0.728019   -1.378573
1.026243   0.733167   -1.347970
1.027815   0.738335   -1.317465
1.029386   0.743523   -1.287058
1.030958   0.748730   -1.256748
1.032529   0.753957   -1.226536
1.034101   0.759203   -1.196422
1.035673   0.764468   -1.166405
1.037244   0.769753   -1.136485
1.038816   0.775057   -1.106662
1.040387   0.780380   -1.076937
1.041959   0.785723   -1.047308
1.043531   0.791084   -1.017776
1.045102   0.796464   -0.988341
1.046674   0.801862   -0.959003
1.048245   0.807279   -0.929761
1.049817   0.812715   -0.900615
1.051388   0.818170   -0.871566
1.052960   0.823642   -0.842613
1.054532   0.829133   -0.813756
1.056103   0.834642   -0.784996
1.057675   0.840169   -0.756331
1.059246   0.845715   -0.727762
1.060818   0.851277   -0.699289
1.062390   0.856858   -0.670911
1.063961   0.862456   -0.642629
1.065533   0.868072   -0.614442
1.067104   0.873705   -0.586351
1.068676   0.879356   -0.558355
1.070247   0.885023   -0.530454
1.071819   0.890708   -0.502648
1.073391   0.896409   -0.474937
1.074962   0.902127   -0.447321
1.076534   0.907862   -0.419800
1.078105   0.913614   -0.392373
1.079677   0.919382   -0.365041
1.081248   0.925166   -0.337804
1.082820   0.930966   -0.310661
1.084392   0.936783   -0.283612
1.085963   0.942615   -0.256658
1.087535   0.948463   -0.229797
1.089106   0.954326   -0.203031
1.090678   0.960205   -0.176359
1.092250   0.966100   -0.149781
1.093821   0.972009   -0.123296
1.095393   0.977934   -0.096906
1.096964   0.983873   -0.070609
1.098536   0.989827   -0.044405
1.100107   0.995796   -0.018295
1.101679   1.001779   0.007721
1.103251   1.007777   0.033644
1.104822   1.013789   0.059474
1.106394   1.019814   0.085211
1.107965   1.025854   0.110855
1.109537   1.031907   0.136406
1.111109   1.037974   0.161863
1.112680   1.044054   0.187228
1.114252   1.050147   0.212500
1.115823   1.056253   0.237680
1.117395   1.062372   0.262767
1.118966   1.068504   0.287761
1.120538   1.074648   0.312663
1.122110   1.080805   0.337472
1.123681   1.086973   0.362189
1.125253   1.093154   0.386814
1.126824   1.099347   0.411346
1.128396   1.105551   0.435787
1.129968   1.111766   0.460135
1.131539   1.117993   0.484391
1.133111   1.124231   0.508556
1.134682   1.130480   0.532629
1.136254   1.136740   0.556610
1.137825   1.143010   0.580499
1.139397   1.149290   0.604296
1.140969   1.155581   0.628002
1.142540   1.161881   0.651617
1.144112   1.168191   0.675140
1.145683   1.174511   0.698572
1.147255   1.180840   0.721912
1.148827   1.187179   0.745161
1.150398   1.193526   0.768319
1.151970   1.199882   0.791386
1.153541   1.206247   0.814362
1.155113   1.212620   0.837247
1.156684   1.219001   0.860041
1.158256   1.225390   0.882745
1.159828   1.231787   0.905357
1.161399   1.238192   0.927879
1.162971   1.244603   0.950310
1.164542   1.251022   0.972650
1.166114   1.257448   0.994900
1.167686   1.263880   1.017060
1.169257   1.270319   1.039129
1.170829   1.276764   1.061107
1.172400   1.283215   1.082995
1.173972   1.289672   1.104794
1.175543   1.296135   1.126501
1.177115   1.302603   1.148119
1.178687   1.309075   1.169647
1.180258   1.315553   1.191085
1.181830   1.322036   1.212432
1.183401   1.328523   1.233690
1.184973   1.335014   1.254858
1.186544   1.341509   1.275936
1.188116   1.348008   1.296925
1.189688   1.354510   1.317823
1.191259   1.361016   1.338632
1.192831   1.367525   1.359352
1.194402   1.374036   1.379982
1.195974   1.380550   1.400523
1.197546   1.387067   1.420974
1.199117   1.393585   1.441335
1.200689   1.400106   1.461608
1.202260   1.406627   1.481791
1.203832   1.413151   1.501885
1.205403   1.419675   1.521889
1.206975   1.426200   1.541805
1.208547   1.432726   1.561632
1.210118   1.439252   1.581369
1.211690   1.445779   1.601018
1.213261   1.452305   1.620577
1.214833   1.458830   1.640048
1.216405   1.465355   1.659430
1.217976   1.471880   1.678723
1.219548   1.478403   1.697927
1.221119   1.484924   1.717043
1.222691   1.491444   1.736070
1.224262   1.497962   1.755009
1.225834   1.504478   1.773858
1.227406   1.510991   1.792620
1.228977   1.517502   1.811293
1.230549   1.524010   1.829877
1.232120   1.530514   1.848373
1.233692   1.537015   1.866781
1.235264   1.543512   1.885101
1.236835   1.550005   1.903332
1.238407   1.556494   1.921475
1.239978   1.562978   1.939530
1.241550   1.569458   1.957496
1.243121   1.575932   1.975375
1.244693   1.582401   1.993166
1.246265   1.588864   2.010868
1.247836   1.595322   2.028483
1.249408   1.601773   2.046010
1.250979   1.608218   2.063449
1.252551   1.614656   2.080800
1.254123   1.621087   2.098063
1.255694   1.627511   2.115238
1.257266   1.633927   2.132326
1.258837   1.640335   2.149326
1.260409   1.646736   2.166239
1.261980   1.653128   2.183064
1.263552   1.659511   2.199801
1.265124   1.665885   2.216451
1.266695   1.672250   2.233013
1.268267   1.678606   2.249488
1.269838   1.684952   2.265875
1.271410   1.691288   2.282175
1.272982   1.697613   2.298387
1.274553   1.703928   2.314513
1.276125   1.710232   2.330551
1.277696   1.716525   2.346501
1.279268   1.722807   2.362365
1.280839   1.729076   2.378141
1.282411   1.735334   2.393831
1.283983   1.741579   2.409433
1.285554   1.747812   2.424948
1.287126   1.754032   2.440376
1.288697   1.760239   2.455717
1.290269   1.766433   2.470971
1.291841   1.772612   2.486138
1.293412   1.778778   2.501218
1.294984   1.784930   2.516211
1.296555   1.791067   2.531118
1.298127   1.797189   2.545937
1.299698   1.803296   2.560670
1.301270   1.809388   2.575316
1.302842   1.815464   2.589876
1.304413   1.821524   2.604348
1.305985   1.827568   2.618734
1.307556   1.833595   2.633034
1.309128   1.839605   2.647246
1.310699   1.845599   2.661372
1.312271   1.851575   2.675412
1.313843   1.857533   2.689365
1.315414   1.863473   2.703232
1.316986   1.869395   2.717012
1.318557   1.875299   2.730706
1.320129   1.881184   2.744313
1.321701   1.887050   2.757834
1.323272   1.892896   2.771268
1.324844   1.898723   2.784617
1.326415   1.904530   2.797878
1.327987   1.910317   2.811054
1.329558   1.916083   2.824144
1.331130   1.921829   2.837147
1.332702   1.927553   2.850064
1.334273   1.933256   2.862895
1.335845   1.938938   2.875639
1.337416   1.944598   2.888298
1.338988   1.950235   2.900870
1.340560   1.955851   2.913357
1.342131   1.961443   2.925757
1.343703   1.967013   2.938071
1.345274   1.972559   2.950300
1.346846   1.978082   2.962442
1.348417   1.983581   2.974498
1.349989   1.989055   2.986469
1.351561   1.994506   2.998353
1.353132   1.999932   3.010152
1.354704   2.005333   3.021865
1.356275   2.010709   3.033492
1.357847   2.016059   3.045033
1.359419   2.021384   3.056489
1.360990   2.026683   3.067858
1.362562   2.031956   3.079142
1.364133   2.037202   3.090340
1.365705   2.042421   3.101453
1.367276   2.047613   3.112479
1.368848   2.052778   3.123421
1.370420   2.057916   3.134276
1.371991   2.063025   3.145046
1.373563   2.068107   3.155730
1.375134   2.073160   3.166329
1.376706   2.078185   3.176842
1.378278   2.083181   3.187269
1.379849   2.088147   3.197611
1.381421   2.093085   3.207868
1.382992   2.097992   3.218039
1.384564   2.102870   3.228125
1.386135   2.107718   3.238125
